process_id,arrival_time,cpu_time1,cpu_time2,io_time
182,564,7,15,1
183,283,12,10,0
184,123,12,18,1
185,383,1,11,5
186,260,10,14,6
187,451,19,17,1
188,657,19,1,10
189,322,15,14,1
190,79,10,18,0
191,633,9,7,9
192,297,15,5,7
193,998,19,20,0
194,617,2,6,5
195,31,18,4,2
196,704,2,4,9
197,819,6,1,10
198,851,15,13,0
199,173,8,20,7
200,87,11,2,6
201,728,9,5,3
202,735,7,3,1
203,978,12,1,0
204,441,8,3,7
205,695,11,1,7
206,548,16,18,0
207,981,1,11,1
208,773,9,14,1
209,464,1,16,10
210,349,11,9,5
211,471,18,16,5
212,489,11,11,4
213,333,17,13,3
214,194,10,5,2
215,94,4,5,2
216,790,15,13,9
217,449,16,19,7
218,696,15,17,9
219,301,19,11,1
220,140,20,8,0
221,156,10,18,3
222,751,15,20,1
223,794,13,7,9
224,431,5,20,5
225,285,16,12,5
226,830,10,14,4
227,324,2,20,6
228,17,1,15,0
229,842,15,5,5
230,481,5,4,6
231,963,14,10,8
232,227,3,2,6
233,280,6,2,8
234,388,1,7,0
235,693,7,5,9
236,502,3,13,0
237,10,4,20,1
238,942,8,16,2
239,143,19,11,2
240,751,10,17,5
241,276,5,13,1
242,167,6,4,5
243,262,18,15,1
244,959,19,5,6
245,695,6,12,10
246,859,11,3,1
247,843,9,20,4
248,573,19,9,0
249,162,12,1,9
250,465,3,18,8
251,944,4,9,4
252,95,4,18,0
253,559,8,9,9
254,578,7,13,1
255,659,10,10,8
256,233,1,20,8
257,77,17,8,8
258,675,20,3,1
259,646,9,16,5
260,571,10,3,7
261,454,2,5,4
262,350,14,18,1
263,298,6,13,2
264,58,5,3,3
265,787,10,8,5
266,666,14,7,6
267,744,14,6,1
268,491,11,6,3
269,551,16,20,8
270,125,18,19,4
271,862,12,8,8
272,170,12,12,3
273,262,4,8,10
274,187,3,9,6
275,440,12,12,10
276,268,17,9,9
277,279,15,16,5
278,575,17,7,5
279,260,12,13,4
280,75,18,1,4
281,204,6,2,7
282,751,7,13,9
283,618,4,13,4
284,630,9,6,8
285,126,6,3,2
286,753,5,4,8
287,250,8,17,7
288,161,6,6,9
289,219,10,19,1
290,71,1,15,7
291,863,2,1,1
292,784,8,1,9
293,315,14,14,6
294,700,19,12,1
295,509,10,9,0
296,572,7,16,10
297,669,9,7,4
298,10,20,8,1
299,995,18,1,1
300,748,19,16,10
301,588,2,16,6
302,393,11,18,1
303,76,9,11,10
304,765,9,20,5
305,436,17,6,4
306,814,5,16,8
307,438,8,10,6
308,368,5,9,10
309,285,20,14,8
310,318,19,11,1
311,84,12,10,6
312,589,6,16,8
313,200,7,20,9
314,153,12,11,8
315,430,7,6,2
316,464,8,9,9
317,682,11,3,0
318,57,13,14,9
319,147,5,5,4
320,364,4,12,9
321,789,18,12,4
322,763,9,20,10
323,777,13,4,8
324,30,14,14,2
325,810,11,8,2
326,51,9,19,1
327,292,4,1,2
328,299,19,7,2
329,163,11,11,0
330,112,20,1,7
331,781,12,15,1
332,400,3,13,2
333,594,10,2,9
334,357,9,17,6
335,684,10,17,0
336,226,13,11,0
337,560,18,15,9
338,906,8,2,3
339,261,14,19,0
340,382,13,10,2
341,60,10,4,7
342,408,1,5,10
343,145,1,16,2
344,257,7,15,6
345,691,17,5,8
346,352,12,3,1
347,293,17,14,7
348,317,17,18,6
349,134,7,12,0
350,88,15,2,1
351,92,1,3,0
352,455,4,4,3
353,290,12,20,4
354,464,10,4,9
355,193,12,17,3
356,129,9,9,0
357,70,1,2,7
358,511,3,7,1
359,414,12,16,9
360,645,18,15,7
361,83,17,6,4
362,122,14,3,5
363,386,15,13,3
364,456,20,17,4
365,845,5,10,6
366,572,18,15,0
367,694,13,13,3
368,718,19,6,6
369,370,5,17,8
370,710,10,19,7
371,19,12,11,5
372,429,19,4,4
373,812,14,1,9
374,177,1,15,6
375,967,9,4,9
376,57,15,7,9
377,482,7,18,10
378,740,18,17,4
379,896,1,12,3
380,103,19,13,5
381,37,17,9,5
382,300,6,14,0
383,673,1,17,3
384,871,12,4,0
385,39,13,14,7
386,323,8,12,5
387,109,7,13,4
388,93,4,13,4
389,775,15,18,3
390,27,10,7,8
391,733,20,11,5
392,337,15,14,6
393,7,6,19,10
394,249,3,20,8
395,213,1,6,5
396,614,16,19,8
397,186,10,9,5
398,208,7,14,9
399,164,11,8,10
400,772,7,2,5
401,959,9,1,7
402,252,7,18,9
403,70,10,10,6
404,31,19,10,5
405,626,6,10,1
406,133,8,15,4
407,330,11,7,8
408,420,5,18,8
409,210,6,14,0
410,859,8,6,2
411,201,10,9,5
412,131,5,15,4
413,467,6,16,1
414,154,6,16,0
415,179,9,3,1
416,109,2,1,6
417,138,13,17,8
418,254,17,12,1
419,465,20,2,6
420,296,14,1,6
421,933,14,9,2
422,856,7,10,1
423,242,13,17,6
424,8,11,8,4
425,891,7,20,9
426,550,13,16,4
427,979,15,18,8
428,42,18,9,7
429,918,3,19,7
430,308,14,20,9
431,278,8,12,3
432,532,4,15,9
433,892,16,13,9
434,78,7,20,6
435,114,3,18,10
436,834,12,2,2
437,107,2,6,3
438,456,15,5,10
439,349,10,5,0
440,261,5,6,10
441,216,5,3,0
442,689,1,11,6
443,643,2,20,7
444,705,18,16,2
445,348,8,3,8
446,608,11,1,9
447,954,17,20,6
448,167,8,9,3
449,332,10,20,9
450,357,14,11,2
451,642,2,9,2
452,537,17,1,2
453,67,2,14,4
454,869,12,17,6
455,209,4,6,6
456,548,12,7,6
457,688,16,6,10
458,588,17,17,6
459,986,4,6,2
460,271,20,17,4
461,934,6,12,5
462,517,16,10,9
463,909,3,4,4
464,198,7,7,7
465,404,7,10,3
466,946,15,10,7
467,909,4,4,9
468,790,7,12,1
469,366,5,9,5
470,374,7,5,5
471,269,19,10,5
472,969,14,6,8
473,402,19,1,0
474,62,16,13,7
475,953,18,20,2
476,29,11,4,2
477,288,19,3,3
478,813,8,19,9
479,679,7,13,6
480,831,6,11,9
481,736,5,1,6
482,616,3,1,2
483,269,3,2,4
484,635,20,20,8
485,393,16,10,5
486,639,14,15,7
487,698,11,4,3
488,379,10,10,6
489,465,3,2,10
490,612,11,10,2
491,600,3,15,2
492,183,1,2,6
493,801,15,14,9
494,816,19,18,1
495,403,7,3,0
496,116,11,7,8
497,575,10,17,1
498,274,15,17,5
499,790,3,1,8
500,302,15,16,1
501,725,9,4,0
502,88,2,1,6
503,929,8,13,10
504,89,4,7,9
505,641,7,3,4
506,60,7,17,3
507,340,3,13,7
508,157,11,8,0
509,285,5,2,6
510,471,18,13,3
511,320,15,5,10
512,464,4,12,3
513,846,18,5,10
514,454,7,14,9
515,468,19,11,4
516,996,20,20,2
517,152,19,8,1
518,872,18,7,7
519,450,18,6,6
520,913,18,11,2
521,743,3,2,10
522,213,3,9,4
523,49,15,7,8
524,428,19,1,2
525,112,20,11,7
526,615,4,18,5
527,444,10,3,1
528,973,2,11,1
529,651,2,9,1
530,954,9,3,1
531,952,15,1,0
532,882,19,7,7
533,177,19,6,2
534,462,12,10,1
535,415,16,10,7
536,132,14,20,2
537,241,12,4,6
538,552,16,2,9
539,952,4,12,0
540,131,18,2,4
541,393,19,18,0
542,827,5,12,5
543,219,1,8,10
544,376,12,5,4
545,938,18,13,3
546,100,17,17,5
547,841,16,11,1
548,571,4,12,9
549,252,3,14,10
550,950,15,18,1
551,184,18,15,8
552,913,1,1,0
553,97,6,17,10
554,320,15,12,1
555,28,13,4,5
556,36,18,8,9
557,362,10,14,7
558,32,5,9,4
559,507,3,15,1
560,51,16,14,10
561,269,12,8,4
562,711,16,19,0
563,621,16,4,2
564,118,13,13,1
565,942,13,17,5
566,761,18,17,4
567,91,12,7,3
568,640,4,10,9
569,402,6,19,7
570,718,18,10,0
571,703,19,7,1
572,133,3,17,1
573,111,16,6,9
574,149,1,17,7
575,645,18,16,2
576,272,16,15,9
577,626,5,1,5
578,110,2,7,8
579,970,12,15,9
580,645,3,2,0
581,604,9,14,3
582,867,19,10,7
583,33,11,12,10
584,61,20,18,7
585,836,17,13,5
586,773,16,10,6
587,438,5,13,1
588,47,7,14,0
589,994,8,14,7
590,914,13,12,2
591,430,19,20,5
592,635,18,10,5
593,618,8,10,0
594,730,2,16,1
595,575,20,13,7
596,274,4,15,3
597,219,8,7,3
598,556,16,1,10
599,106,11,15,5
600,623,10,10,1
601,994,9,17,3
602,981,17,20,5
603,516,13,11,2
604,901,7,8,9
605,10,4,20,0
606,332,1,16,5
607,179,5,16,7
608,458,19,20,0
609,257,4,5,7
610,459,7,10,1
611,974,14,17,2
612,364,20,15,9
613,282,15,18,7
614,60,15,12,7
615,140,16,10,6
616,776,17,6,5
617,131,17,17,1
618,212,11,19,7
619,437,7,7,6
620,358,18,13,9
621,623,5,20,4
622,539,11,18,8
623,728,4,6,8
624,897,4,19,7
625,352,12,19,6
626,177,17,10,4
627,827,12,13,4
628,300,13,7,3
629,321,1,11,3
630,320,13,2,2
631,656,15,10,6
632,10,17,3,2
633,717,1,17,7
634,154,11,12,6
635,240,16,10,7
636,403,16,10,6
637,168,5,16,10
638,894,3,1,0
639,294,4,19,7
640,170,20,18,9
641,428,1,7,2
642,585,12,14,1
643,451,6,19,9
644,888,3,3,1
645,936,12,10,9
646,817,17,2,8
647,952,2,6,9
648,745,15,7,1
649,449,18,16,9
650,468,10,5,2
651,754,11,19,7
652,660,4,1,0
653,196,15,7,7
654,923,18,17,1
655,905,10,12,9
656,207,20,12,3
657,212,7,12,7
658,62,13,20,0
659,605,1,18,8
660,518,9,20,0
661,830,2,6,2
662,490,18,3,8
663,81,12,8,1
664,644,3,11,9
665,236,13,5,4
666,671,17,17,3
667,315,12,4,7
668,409,18,20,2
669,349,9,15,0
670,975,17,20,2
671,718,13,12,1
672,757,18,13,4
673,415,10,18,8
674,101,8,10,6
675,641,18,2,1
676,211,10,11,6
677,947,19,14,2
678,396,18,12,9
679,622,16,12,4
680,250,5,1,4
681,33,13,12,6
682,947,19,13,10
683,117,7,4,7
684,944,3,10,6
685,448,6,13,7
686,947,3,16,2
687,331,5,3,6
688,93,12,9,3
689,908,18,1,9
690,937,7,16,1
691,569,17,13,8
692,211,6,8,10
693,344,10,6,6
694,758,3,7,9
695,798,10,12,7
696,937,19,15,4
697,695,1,13,2
698,949,10,10,10
699,332,10,4,9
700,889,13,16,9
701,579,13,19,2
702,404,7,17,10
703,279,12,17,5
704,902,13,11,2
705,79,12,3,4
706,594,15,8,6
707,121,18,15,0
708,319,3,11,1
709,865,4,16,9
710,707,10,17,10
711,530,8,19,2
712,428,15,4,5
713,29,14,19,5
714,982,14,4,7
715,153,7,20,6
716,651,9,15,0
717,298,11,17,3
718,0,19,3,8
719,650,7,10,3
720,672,9,1,1
721,975,15,10,9
722,233,2,6,1
723,918,1,7,2
724,819,19,7,4
725,991,3,19,1
726,363,13,15,7
727,109,6,12,10
728,885,10,4,1
729,747,7,20,10
730,718,17,18,4
731,631,9,9,5
732,453,9,9,2
733,196,5,17,7
734,363,8,5,5
735,790,13,9,0
736,8,14,1,8
737,554,18,10,2
738,879,12,15,3
739,58,19,13,3
740,749,1,3,9
741,470,10,9,7
742,391,11,13,9
743,649,2,20,1
744,60,15,1,3
745,327,5,8,6
746,466,8,3,3
747,2,16,3,0
748,58,19,16,7
749,768,1,17,1
750,601,20,10,10
751,689,20,14,4
752,147,13,4,6
753,928,1,9,7
754,661,11,4,4
755,839,19,19,5
756,708,11,8,4
757,30,14,4,0
758,300,16,9,0
759,436,5,4,4
760,312,8,19,8
761,405,3,14,7
762,191,2,20,0
763,515,19,14,7
764,363,17,9,2
765,572,7,13,6
766,233,1,16,6
767,817,1,16,1
768,291,9,2,9
769,535,10,7,2
770,594,1,9,6
771,135,17,18,8
772,420,20,2,10
773,63,16,17,10
774,604,11,9,4
775,484,4,14,10
776,245,6,8,2
777,728,6,18,8
778,709,7,14,1
779,316,6,14,2
780,42,12,20,7
781,463,16,9,4
782,660,8,19,7
783,511,17,7,2
784,25,20,1,6
785,1000,1,5,5
786,133,11,13,9
787,317,14,1,9
788,856,18,9,2
789,764,11,18,6
790,327,7,1,2
791,431,4,14,0
792,747,6,18,8
793,399,16,12,4
794,560,2,8,2
795,566,10,5,7
796,461,2,16,2
797,403,11,7,7
798,467,14,11,10
799,99,18,16,5
800,89,13,4,6
801,342,3,9,3
802,146,12,15,4
803,855,6,13,2
804,831,2,14,4
805,95,16,4,10
806,703,18,19,7
807,941,1,13,9
808,71,13,10,10
809,101,2,17,3
810,892,8,14,0
811,459,15,2,6
812,210,9,17,10
813,716,3,8,5
814,388,8,19,10
815,31,11,2,6
816,939,6,16,4
817,780,19,15,0
818,831,18,9,4
819,644,8,12,0
820,260,2,13,1
821,390,2,7,7
822,498,11,19,4
823,192,1,9,0
824,605,13,8,6
825,90,1,1,6
826,218,6,6,3
827,393,4,8,4
828,680,11,11,6
829,835,5,10,3
830,569,7,8,2
831,894,19,20,2
832,713,1,14,8
833,458,20,8,10
834,621,15,14,1
835,172,18,20,8
836,760,6,17,7
837,422,7,9,2
838,875,19,6,10
839,494,15,11,7
840,96,18,3,10
841,589,4,9,0
842,649,7,16,9
843,862,16,3,7
844,176,20,10,3
845,691,11,5,2
846,487,12,20,10
847,634,13,11,10
848,715,3,10,7
849,118,3,1,5
850,302,7,1,7
851,495,6,17,3
852,90,11,19,4
853,723,15,5,2
854,762,19,7,3
855,113,12,17,7
856,424,6,7,1
857,229,15,18,0
858,612,7,18,6
859,192,15,8,6
860,553,15,5,1
861,451,10,20,2
862,450,2,7,4
863,285,13,8,9
864,262,18,18,9
865,867,10,7,0
866,209,7,3,8
867,178,3,14,2
868,86,1,3,3
869,484,1,10,0
870,797,11,6,3
871,451,11,2,0
872,866,11,10,9
873,847,8,12,0
874,290,7,8,7
875,967,13,20,2
876,412,2,4,7
877,972,20,3,9
878,586,14,18,6
879,152,20,12,0
880,485,17,7,3
881,515,16,17,1
882,487,13,9,3
883,642,15,14,9
884,892,19,16,9
885,764,6,4,2
886,289,13,9,3
887,397,12,11,8
888,625,11,14,9
889,668,4,16,8
890,243,8,11,6
891,867,17,16,9
892,844,6,2,3
893,886,16,6,9
894,162,19,2,3
895,70,12,7,6
896,710,8,1,4
897,83,3,1,1
898,547,3,1,4
899,226,6,14,1
900,457,9,5,9
901,527,17,10,9
902,294,10,12,8
903,638,20,1,7
904,556,20,13,4
905,715,12,4,4
906,181,11,16,4
907,187,16,4,5
908,704,1,5,3
909,11,16,15,9
910,509,17,20,9
911,46,13,18,9
912,473,7,15,6
913,116,12,5,3
914,998,10,20,7
915,124,7,13,3
916,772,20,18,3
917,589,8,12,0
918,80,10,4,10
919,966,18,1,6
920,21,11,16,6
921,575,11,20,1
922,467,19,7,1
923,814,19,8,5
924,840,12,13,9
925,338,16,8,5
926,141,3,18,4
927,509,17,7,7
928,775,14,11,7
929,47,3,3,2
930,99,12,15,8
931,819,16,10,6
932,862,14,18,10
933,120,11,3,8
934,735,1,20,0
935,814,4,7,1
936,298,13,7,8
937,530,8,2,9
938,428,4,16,8
939,390,4,8,3
940,187,9,12,1
941,886,19,13,0
942,93,7,10,8
943,470,12,3,0
944,639,12,1,10
945,81,17,2,10
946,858,8,9,10
947,900,7,18,10
948,262,16,7,0
949,716,12,20,9
950,2,2,11,4
951,595,11,1,6
952,85,10,11,0
953,380,1,11,3
954,76,1,19,5
955,825,5,15,0
956,943,2,8,6
957,358,9,1,5
958,184,13,17,3
959,991,12,6,5
960,227,11,17,10
961,455,3,17,0
962,728,20,13,8
963,361,5,1,2
964,211,17,6,4
965,314,4,4,1
966,568,1,8,10
967,823,17,1,7
968,262,4,1,2
969,941,17,6,9
970,658,16,15,4
971,934,7,16,6
972,782,17,1,7
973,364,12,19,6
974,836,1,11,5
975,941,15,8,2
976,414,20,19,8
977,742,5,6,5
978,822,8,4,5
979,236,19,1,6
980,453,8,2,6
981,175,5,18,0
982,491,9,18,2
983,110,8,3,0
984,161,11,9,7
985,479,15,13,2
986,296,2,1,10
987,226,5,13,8
988,143,12,2,7
989,898,11,13,1
990,912,2,17,1
991,522,5,19,2
992,364,5,7,9
993,34,13,9,2
994,266,9,19,0
995,935,14,2,10
996,14,4,3,4
997,611,1,7,7
998,605,18,14,9
999,797,15,7,6
1000,107,11,6,9
1001,916,16,5,2
1002,822,18,4,9
1003,535,8,6,3
1004,104,16,16,0
1005,710,16,7,0
1006,264,13,11,7
1007,604,11,20,1
1008,823,13,3,7
1009,970,2,16,5
1010,894,16,12,10
1011,575,14,20,5
1012,218,5,20,3
1013,987,2,3,1
1014,578,1,2,1
1015,888,2,5,6
1016,849,12,7,2
1017,226,9,13,4
1018,564,7,1,0
1019,540,7,1,6
1020,394,14,17,9
1021,235,11,1,6
1022,942,17,8,6
1023,807,19,8,8
1024,884,4,18,7
1025,202,18,10,6
1026,341,19,15,6
1027,263,16,9,9
1028,747,15,18,10
1029,1000,12,6,10
1030,791,7,7,0
1031,485,13,17,6
1032,621,7,18,1
1033,759,1,18,7
1034,274,4,9,8
1035,294,3,9,9
1036,602,15,1,9
1037,923,5,4,10
1038,909,14,10,3
1039,714,7,15,7
1040,905,13,14,4
1041,516,17,11,6
1042,150,5,17,8
1043,157,5,20,4
1044,40,5,14,1
1045,978,17,12,5
1046,20,8,16,10
1047,700,17,4,2
1048,817,20,12,3
1049,328,16,16,10
1050,343,20,11,9
1051,552,7,11,0
1052,717,16,13,3
1053,293,8,16,6
1054,440,15,8,8
1055,954,10,12,4
1056,618,4,15,2
1057,409,13,18,8
1058,619,17,20,9
1059,606,13,8,5
1060,995,14,3,2
1061,555,9,16,9
1062,447,7,11,1
1063,802,10,14,6
1064,629,10,1,8
1065,712,18,14,0
1066,875,4,4,0
1067,735,15,14,5
1068,347,13,16,5
1069,995,18,18,4
1070,641,10,12,0
1071,874,2,17,9
1072,32,15,13,6
1073,629,9,15,9
1074,996,6,2,0
1075,162,16,10,5
1076,354,19,6,0
1077,661,9,16,1
1078,305,4,3,2
1079,427,10,10,1
1080,930,5,1,0
1081,407,3,17,3
1082,48,10,19,9
1083,757,8,14,5
1084,846,2,3,0
1085,490,6,5,4
1086,761,9,11,10
1087,622,4,7,5
1088,767,12,18,8
1089,132,10,17,5
1090,427,4,10,9
1091,121,12,7,4
1092,335,10,13,5
1093,226,9,12,5
1094,337,5,12,10
1095,38,7,18,6
1096,948,1,12,9
1097,845,5,19,4
1098,302,16,19,8
1099,849,7,17,3
1100,966,17,18,4
1101,507,13,6,9
1102,994,1,15,7
1103,365,20,16,4
1104,518,20,12,8
1105,686,9,6,10
1106,852,13,6,3
1107,164,17,6,2
1108,884,3,5,10
1109,896,4,2,8
1110,802,11,9,0
1111,942,17,12,5
1112,863,11,20,10
1113,330,5,9,0
1114,426,18,6,5
1115,21,20,5,0
1116,29,14,3,3
1117,970,10,3,6
1118,565,17,17,8
1119,13,4,14,9
1120,804,20,11,10
1121,980,2,1,7
1122,452,3,1,5
1123,101,1,3,7
1124,163,6,5,3
1125,750,15,20,2
1126,946,14,6,5
1127,365,2,18,3
1128,37,4,14,1
1129,1000,19,8,9
1130,478,13,5,2
1131,479,7,17,9
1132,739,12,9,7
1133,264,1,16,10
1134,328,19,9,10
1135,549,15,3,0
1136,328,14,8,8
1137,743,16,3,7
1138,711,8,19,1
1139,953,6,4,7
1140,331,13,14,5
1141,228,3,5,9
1142,168,10,3,5
1143,55,16,12,6
1144,767,10,10,3
1145,979,12,9,0
1146,710,3,1,10
1147,686,20,12,6
1148,270,9,14,1
1149,588,7,11,3
1150,122,18,6,8
1151,508,5,2,8
1152,888,7,1,7
1153,697,13,19,6
1154,512,19,4,2
1155,698,5,13,8
1156,58,20,1,10
1157,229,7,18,8
1158,426,11,20,1
1159,183,18,15,4
1160,407,8,17,4
1161,824,12,6,10
1162,73,7,8,8
1163,98,10,4,3
1164,369,5,13,7
1165,798,13,2,7
1166,566,3,20,0
1167,300,1,8,10
1168,268,7,12,8
1169,310,9,10,7
1170,353,13,19,0
1171,457,5,12,7
1172,253,1,2,1
1173,352,17,6,0
1174,909,14,8,10
1175,487,18,20,9
1176,112,19,6,2
1177,927,17,8,7
1178,909,16,5,3
1179,930,4,11,3
1180,327,12,10,5
1181,721,12,16,2
1182,524,13,6,1
1183,276,5,19,6
1184,309,13,6,5
1185,7,16,10,8
1186,37,3,16,3
1187,163,13,17,6
1188,80,13,5,10
1189,771,12,18,6
1190,161,20,18,4
1191,5,13,19,5
1192,378,6,3,1
1193,25,13,16,9
1194,554,7,9,8
1195,508,13,19,3
1196,781,1,5,4
1197,438,7,17,10
1198,532,13,14,9
1199,418,4,18,0
1200,301,14,17,0
1201,928,16,15,10
1202,70,17,9,1
1203,524,12,15,4
1204,827,5,16,0
1205,818,18,13,8
1206,831,9,9,5
1207,790,20,11,8
1208,40,8,16,10
1209,203,3,6,3
1210,394,16,4,7
1211,107,5,9,8
1212,75,18,13,4
1213,101,6,17,10
1214,72,8,4,5
1215,745,20,2,4
1216,80,19,15,4
1217,423,17,5,5
1218,999,13,2,3
1219,56,7,18,1
1220,87,13,3,6
1221,423,15,16,7
1222,475,18,8,3
1223,159,9,5,9
1224,735,19,7,7
1225,666,12,6,1
1226,906,5,18,6
1227,328,13,19,10
1228,537,7,11,7
1229,312,11,12,0
1230,774,20,12,10
1231,966,10,14,10
1232,161,1,14,6
1233,514,18,15,5
1234,477,2,18,4
1235,309,9,20,3
1236,238,11,5,0
1237,427,20,9,9
1238,906,17,11,6
1239,880,4,16,7
1240,1000,14,17,8
1241,920,17,11,1
1242,509,1,10,5
1243,438,18,20,7
1244,221,11,2,6
1245,613,14,2,10
1246,606,19,20,1
1247,787,3,7,8
1248,564,14,7,0
1249,913,6,17,4
1250,295,15,11,10
1251,705,8,12,8
1252,112,18,4,5
1253,435,19,7,0
1254,643,14,2,8
1255,209,2,6,10
1256,249,20,15,8
1257,221,7,3,2
1258,600,12,8,9
1259,190,9,17,5
1260,732,14,4,9
1261,17,8,17,9
1262,857,18,1,5
1263,124,3,16,5
1264,75,11,9,7
1265,585,14,16,6
1266,659,20,20,2
1267,570,8,10,3
1268,807,17,12,1
1269,350,14,4,10
1270,29,16,16,4
1271,631,4,11,10
1272,894,15,12,4
1273,867,19,14,6
1274,702,8,11,1
1275,32,20,11,7
1276,585,3,14,0
1277,883,16,4,0
1278,3,4,7,2
1279,987,13,4,9
1280,976,16,13,5
1281,466,13,20,9
1282,938,4,8,1
1283,416,15,11,5
1284,762,17,6,7
1285,897,10,16,8
1286,279,1,6,0
1287,393,12,5,3
1288,863,20,19,8
1289,588,6,6,1
1290,139,6,4,8
1291,636,11,15,0
1292,476,15,5,0
1293,69,10,13,6
1294,190,9,15,6
1295,511,11,1,0
1296,417,20,2,3
1297,656,13,12,4
1298,164,2,17,7
1299,247,13,15,9
1300,375,10,17,10
1301,251,15,7,3
1302,362,6,8,10
1303,926,12,4,3
1304,171,9,5,3
1305,508,13,11,0
1306,677,20,12,10
1307,763,2,3,1
1308,885,1,4,2
1309,285,10,18,4
1310,915,8,11,7
1311,295,13,7,10
1312,39,1,19,9
1313,222,2,13,2
1314,348,11,20,6
1315,404,14,12,9
1316,585,14,13,6
1317,479,3,3,0
1318,426,7,20,0
1319,106,17,13,6
1320,989,19,18,5
1321,616,4,8,9
1322,735,13,14,7
1323,419,8,9,2
1324,479,5,12,5
1325,215,5,9,3
1326,350,14,19,10
1327,746,18,8,4
1328,125,16,7,5
1329,688,2,18,7
1330,577,4,10,1
1331,263,15,11,1
1332,24,10,15,4
1333,250,2,17,6
1334,389,8,19,8
1335,455,17,1,1
1336,837,5,20,2
1337,904,17,11,9
1338,651,10,18,1
1339,772,8,3,9
1340,643,16,17,4
1341,352,5,17,10
1342,165,13,10,0
1343,491,4,18,2
1344,702,5,9,5
1345,824,20,17,3
1346,79,14,14,6
1347,629,1,6,7
1348,786,19,12,7
1349,20,5,20,9
1350,382,3,14,2
1351,861,8,14,6
1352,703,6,5,3
1353,85,3,5,7
1354,593,12,9,1
1355,986,5,17,0
1356,674,2,20,3
1357,625,2,2,10
1358,138,13,13,7
